delivery_id,origin_id,destination_id,priority,route_priority
DL001,WH001,WH005,5,cost
DL002,WH002,WH008,4,time
DL003,WH003,WH010,5,distance
DL004,WH004,WH015,3,cost
DL005,WH005,WH020,4,cost
DL006,WH006,WH012,2,distance
DL007,WH007,WH018,5,cost
DL008,WH008,WH003,3,time
DL009,WH009,WH007,4,cost
DL010,WH010,WH001,5,distance
DL011,WH011,WH019,3,cost
DL012,WH012,WH004,2,time
DL013,WH013,WH009,4,distance
DL014,WH014,WH014,1,cost
DL015,WH015,WH011,5,time
DL016,WH016,WH002,3,time
DL017,WH017,WH006,4,distance
DL018,WH018,WH013,2,cost
DL019,WH019,WH016,5,time
DL020,WH020,WH017,3,distance
DL021,WH001,WH019,4,time
DL022,WH002,WH011,5,cost
DL023,WH003,WH005,3,distance
DL024,WH004,WH008,2,cost
DL025,WH005,WH003,4,time
DL026,WH006,WH020,5,distance
DL027,WH007,WH010,3,time
DL028,WH008,WH001,4,time
DL029,WH009,WH012,2,distance
DL030,WH010,WH006,5,cost
DL031,WH011,WH002,3,time
DL032,WH012,WH007,4,distance
DL033,WH013,WH018,5,time
DL034,WH014,WH009,3,cost
DL035,WH015,WH004,4,cost
DL036,WH016,WH015,2,distance
DL037,WH017,WH008,5,cost
DL038,WH018,WH005,3,time
DL039,WH019,WH012,4,distance
DL040,WH020,WH010,5,time
DL041,WH001,WH016,3,distance
DL042,WH002,WH009,4,time
DL043,WH003,WH013,5,cost
DL044,WH004,WH006,2,distance
DL045,WH005,WH017,3,time
DL046,WH006,WH003,4,cost
DL047,WH007,WH019,5,distance
DL048,WH008,WH014,3,cost
DL049,WH009,WH020,4,cost
DL050,WH010,WH011,5,time
