from_warehouse,to_warehouse,distance,time,cost
WH001,WH002,2445,40,500
WH001,WH003,711,12,200
WH001,WH004,1428,24,350
WH002,WH001,2445,40,500
WH002,WH003,2014,33,450
WH002,WH005,370,6,150
WH003,WH001,711,12,200
WH003,WH002,2014,33,450
WH003,WH004,1086,18,300
WH004,WH001,1428,24,350
WH004,WH003,1086,18,300
WH004,WH005,1175,20,320
WH005,WH002,370,6,150
WH005,WH004,1175,20,320
WH005,WH006,2300,38,480
WH006,WH005,2300,38,480
WH006,WH007,1910,32,420
WH007,WH006,1910,32,420
WH007,WH008,120,2,80
WH008,WH007,120,2,80
WH008,WH009,1430,24,360
WH009,WH008,1430,24,360
WH009,WH010,1820,30,400
WH010,WH009,1820,30,400
WH010,WH011,170,3,100
WH011,WH010,170,3,100
WH011,WH012,950,16,280
WH012,WH011,950,16,280
WH012,WH013,874,15,270
WH013,WH012,874,15,270
WH013,WH014,1070,18,310
WH014,WH013,1070,18,310
WH014,WH015,400,7,130
WH015,WH014,400,7,130
WH015,WH016,2400,40,520
WH016,WH015,2400,40,520
WH016,WH017,2100,35,460
WH017,WH016,2100,35,460
WH017,WH018,2000,33,440
WH018,WH017,2000,33,440
WH018,WH019,1020,17,290
WH019,WH018,1020,17,290
WH019,WH020,1480,25,380
WH020,WH019,1480,25,380
WH020,WH001,225,4,120
